reservation_id,guest_count,checkin,checkout,duration_days,room_type
278,1,"2025-01-14 00:00:00","2025-01-16 00:00:00",2,standard
279,1,"2025-02-09 00:00:00","2025-02-11 00:00:00",2,standard
280,1,"2025-01-01 00:00:00","2025-01-03 00:00:00",2,standard
281,1,"2025-01-04 00:00:00","2025-01-08 00:00:00",4,standard
282,1,"2025-01-13 00:00:00","2025-01-14 00:00:00",1,standard
283,1,"2025-02-05 00:00:00","2025-02-09 00:00:00",4,standard
284,2,"2025-01-28 00:00:00","2025-02-01 00:00:00",4,standard
285,2,"2025-01-15 00:00:00","2025-01-18 00:00:00",3,standard
286,2,"2025-01-24 00:00:00","2025-01-26 00:00:00",2,standard
287,1,"2025-01-09 00:00:00","2025-01-13 00:00:00",4,standard
288,1,"2025-01-14 00:00:00","2025-01-17 00:00:00",3,standard
289,1,"2025-01-15 00:00:00","2025-01-16 00:00:00",1,standard
290,2,"2025-01-09 00:00:00","2025-01-13 00:00:00",4,standard
291,2,"2025-01-06 00:00:00","2025-01-07 00:00:00",1,standard
292,1,"2025-02-14 00:00:00","2025-02-15 00:00:00",1,standard
293,1,"2025-02-01 00:00:00","2025-02-05 00:00:00",4,standard
294,2,"2025-02-11 00:00:00","2025-02-12 00:00:00",1,standard
295,1,"2025-01-11 00:00:00","2025-01-14 00:00:00",3,standard
296,2,"2025-02-03 00:00:00","2025-02-07 00:00:00",4,standard
297,2,"2025-01-03 00:00:00","2025-01-04 00:00:00",1,standard
298,2,"2025-02-01 00:00:00","2025-02-05 00:00:00",4,standard
299,1,"2025-01-18 00:00:00","2025-01-21 00:00:00",3,standard
300,1,"2025-01-02 00:00:00","2025-01-05 00:00:00",3,standard
301,2,"2025-01-25 00:00:00","2025-01-29 00:00:00",4,standard
302,2,"2025-02-03 00:00:00","2025-02-07 00:00:00",4,standard
303,2,"2025-01-19 00:00:00","2025-01-20 00:00:00",1,standard
304,1,"2025-02-13 00:00:00","2025-02-16 00:00:00",3,standard
305,1,"2025-01-27 00:00:00","2025-01-31 00:00:00",4,standard
306,2,"2025-01-23 00:00:00","2025-01-25 00:00:00",2,standard
307,1,"2025-02-10 00:00:00","2025-02-13 00:00:00",3,standard
308,2,"2025-02-02 00:00:00","2025-02-06 00:00:00",4,standard
309,2,"2025-01-31 00:00:00","2025-02-04 00:00:00",4,standard
310,1,"2025-01-08 00:00:00","2025-01-10 00:00:00",2,standard
311,1,"2025-02-12 00:00:00","2025-02-13 00:00:00",1,standard
312,2,"2025-01-16 00:00:00","2025-01-19 00:00:00",3,standard
313,1,"2025-02-03 00:00:00","2025-02-07 00:00:00",4,standard
314,2,"2025-01-22 00:00:00","2025-01-26 00:00:00",4,standard
315,2,"2025-02-12 00:00:00","2025-02-14 00:00:00",2,standard
316,1,"2025-01-28 00:00:00","2025-02-01 00:00:00",4,standard
317,2,"2025-02-07 00:00:00","2025-02-08 00:00:00",1,standard
318,4,"2025-01-07 00:00:00","2025-01-13 00:00:00",6,Deluxe
319,4,"2025-01-29 00:00:00","2025-02-04 00:00:00",6,Deluxe
320,3,"2025-01-16 00:00:00","2025-01-22 00:00:00",6,Deluxe
321,3,"2025-02-05 00:00:00","2025-02-11 00:00:00",6,Deluxe
322,4,"2025-01-05 00:00:00","2025-01-09 00:00:00",4,Deluxe
323,3,"2025-01-02 00:00:00","2025-01-08 00:00:00",6,Deluxe
324,4,"2025-01-29 00:00:00","2025-02-01 00:00:00",3,Deluxe
325,3,"2025-01-17 00:00:00","2025-01-24 00:00:00",7,Deluxe
326,4,"2025-01-08 00:00:00","2025-01-11 00:00:00",3,Deluxe
327,4,"2025-01-25 00:00:00","2025-02-01 00:00:00",7,Deluxe
328,4,"2025-01-05 00:00:00","2025-01-10 00:00:00",5,Deluxe
329,4,"2025-01-22 00:00:00","2025-01-26 00:00:00",4,Deluxe
330,3,"2025-01-13 00:00:00","2025-01-18 00:00:00",5,Deluxe
331,4,"2025-01-10 00:00:00","2025-01-17 00:00:00",7,Deluxe
332,4,"2025-02-14 00:00:00","2025-02-21 00:00:00",7,Deluxe
333,4,"2025-02-04 00:00:00","2025-02-08 00:00:00",4,Deluxe
334,4,"2025-01-11 00:00:00","2025-01-17 00:00:00",6,Deluxe
335,3,"2025-01-24 00:00:00","2025-01-30 00:00:00",6,Deluxe
336,4,"2025-01-02 00:00:00","2025-01-05 00:00:00",3,Deluxe
337,4,"2025-01-31 00:00:00","2025-02-05 00:00:00",5,Deluxe
338,4,"2025-02-07 00:00:00","2025-02-10 00:00:00",3,Deluxe
339,3,"2025-02-13 00:00:00","2025-02-17 00:00:00",4,Deluxe
340,4,"2025-01-17 00:00:00","2025-01-21 00:00:00",4,Deluxe
341,4,"2025-01-18 00:00:00","2025-01-22 00:00:00",4,Deluxe
342,4,"2025-02-11 00:00:00","2025-02-15 00:00:00",4,Deluxe
343,3,"2025-01-04 00:00:00","2025-01-09 00:00:00",5,Deluxe
344,3,"2025-02-10 00:00:00","2025-02-17 00:00:00",7,Deluxe
345,3,"2025-02-01 00:00:00","2025-02-05 00:00:00",4,Deluxe
346,4,"2025-01-06 00:00:00","2025-01-10 00:00:00",4,Deluxe
347,3,"2025-01-07 00:00:00","2025-01-11 00:00:00",4,Deluxe
348,3,"2025-01-05 00:00:00","2025-01-10 00:00:00",5,Deluxe
349,3,"2025-01-08 00:00:00","2025-01-13 00:00:00",5,Deluxe
350,4,"2025-02-13 00:00:00","2025-02-18 00:00:00",5,Deluxe
351,4,"2025-02-01 00:00:00","2025-02-06 00:00:00",5,Deluxe
352,3,"2025-01-10 00:00:00","2025-01-14 00:00:00",4,Deluxe
353,4,"2025-02-03 00:00:00","2025-02-08 00:00:00",5,Deluxe
354,4,"2025-02-06 00:00:00","2025-02-11 00:00:00",5,Deluxe
355,3,"2025-01-10 00:00:00","2025-01-17 00:00:00",7,Deluxe
356,3,"2025-01-13 00:00:00","2025-01-18 00:00:00",5,Deluxe
357,4,"2025-01-15 00:00:00","2025-01-20 00:00:00",5,Deluxe
358,5,"2025-01-13 00:00:00","2025-01-18 00:00:00",5,Suite
359,5,"2025-01-16 00:00:00","2025-01-22 00:00:00",6,Suite
360,6,"2025-01-10 00:00:00","2025-01-17 00:00:00",7,Suite
361,5,"2025-01-20 00:00:00","2025-01-25 00:00:00",5,Suite
362,6,"2025-01-01 00:00:00","2025-01-08 00:00:00",7,Suite
363,5,"2025-01-09 00:00:00","2025-01-14 00:00:00",5,Suite
364,5,"2025-02-11 00:00:00","2025-02-16 00:00:00",5,Suite
365,6,"2025-02-09 00:00:00","2025-02-16 00:00:00",7,Suite
366,6,"2025-01-01 00:00:00","2025-01-06 00:00:00",5,Suite
367,5,"2025-01-16 00:00:00","2025-01-23 00:00:00",7,Suite
368,6,"2025-01-31 00:00:00","2025-02-07 00:00:00",7,Suite
369,6,"2025-01-19 00:00:00","2025-01-29 00:00:00",10,Suite
370,5,"2025-01-27 00:00:00","2025-02-06 00:00:00",10,Suite
371,5,"2025-01-11 00:00:00","2025-01-20 00:00:00",9,Suite
372,6,"2025-01-17 00:00:00","2025-01-23 00:00:00",6,Suite
373,6,"2025-02-03 00:00:00","2025-02-11 00:00:00",8,Suite
374,5,"2025-02-04 00:00:00","2025-02-14 00:00:00",10,Suite
375,6,"2025-02-06 00:00:00","2025-02-12 00:00:00",6,Suite
376,6,"2025-01-09 00:00:00","2025-01-17 00:00:00",8,Suite
377,5,"2025-01-16 00:00:00","2025-01-24 00:00:00",8,Suite
378,3,"2026-02-09 00:00:00","2026-02-16 00:00:00",7,Deluxe
379,4,"2026-02-09 00:00:00","2026-02-28 00:00:00",19,Deluxe
380,2,"2026-02-09 00:00:00","2026-02-13 00:00:00",4,Deluxe
381,4,"2026-02-09 00:00:00","2026-02-14 00:00:00",5,Deluxe
382,2,"2026-02-09 00:00:00","2026-02-15 00:00:00",6,Suite
383,5,"2026-02-09 00:00:00","2026-02-14 00:00:00",5,Suite
384,5,"2026-02-09 00:00:00","2026-02-13 00:00:00",4,Deluxe
385,4,"2026-02-09 00:00:00","2026-02-20 00:00:00",11,Deluxe
386,5,"2026-02-04 00:00:00","2026-02-21 00:00:00",17,Deluxe
387,3,"2026-02-09 00:00:00","2026-02-13 00:00:00",4,standard
388,5,"2026-02-09 00:00:00","2026-02-11 00:00:00",2,Suite
389,2,"2026-02-09 00:00:00","2026-02-12 00:00:00",3,standard
390,2,"2026-02-09 00:00:00","2026-02-13 00:00:00",4,standard
